[2017-03-31 18:20:29]nPos=1000, DB_OPT_插入_任务图号_成功：nOid=85311, nTaskPos=41, Product_no=BY1-170, PicNo=Dt6.644.5217, PicName = 电缆BY25
[2017-03-31 18:20:29]nPos=1097, DB_OPT_插入_任务图号_成功：nOid=90294, nTaskPos=43, Product_no=BY1-170, PicNo=Dt6.644.5193, PicName = 电缆BY1
[2017-03-31 18:20:29]nPos=1098, DB_OPT_插入_任务图号_成功：nOid=90294, nTaskPos=43, Product_no=BY1-170, PicNo=Dt6.644.5194, PicName = 电缆BY2
[2017-03-31 18:20:29]nPos=1099, DB_OPT_插入_任务图号_成功：nOid=90294, nTaskPos=43, Product_no=BY1-170, PicNo=Dt6.644.5197, PicName = 电缆BY5
[2017-03-31 18:20:29]nPos=1100, DB_OPT_插入_任务图号_成功：nOid=90294, nTaskPos=43, Product_no=BY1-170, PicNo=Dt6.644.5199, PicName = 电缆BY7
[2017-03-31 18:20:29]nPos=1101, DB_OPT_插入_任务图号_成功：nOid=90294, nTaskPos=43, Product_no=BY1-170, PicNo=Dt6.644.5201, PicName = 电缆BY9
[2017-03-31 18:20:29]nPos=1102, DB_OPT_插入_任务图号_成功：nOid=90294, nTaskPos=43, Product_no=BY1-170, PicNo=Dt6.644.5207, PicName = 电缆BY15
[2017-03-31 18:20:29]nPos=1103, DB_OPT_插入_任务图号_成功：nOid=90294, nTaskPos=43, Product_no=BY1-170, PicNo=Dt6.644.5212, PicName = 电缆BY20
[2017-03-31 18:20:29]nPos=1104, DB_OPT_插入_产品代号_代号已存在：nOid=90671, nProdPos=44, Product_no=BY1-170
[2017-03-31 18:20:29]nPos=1105, DB_OPT_插入_任务_成功：nOid=90671, nTaskPos=44, Product_no=BY1-170, Project_name=NZ-XH1504-W5C-68-03SD, nCodeCnt=1, nPicNumCnt=7
[2017-03-31 18:20:29]nPos=1106, DB_OPT_插入_任务编号_成功：nOid=90671, nTaskPos=44, Product_no=BY1-170, nCodeIndex=1, szCodeName=201606-03
[2017-03-31 18:20:29]nPos=1107, DB_OPT_插入_任务图号_成功：nOid=90671, nTaskPos=44, Product_no=BY1-170, PicNo=Dt6.644.5193, PicName = 电缆BY1
[2017-03-31 18:20:29]nPos=1108, DB_OPT_插入_任务图号_成功：nOid=90671, nTaskPos=44, Product_no=BY1-170, PicNo=Dt6.644.5194, PicName = 电缆BY2
[2017-03-31 18:20:29]nPos=1109, DB_OPT_插入_任务图号_成功：nOid=90671, nTaskPos=44, Product_no=BY1-170, PicNo=Dt6.644.5197, PicName = 电缆BY5
[2017-03-31 18:20:29]nPos=1110, DB_OPT_插入_任务图号_成功：nOid=90671, nTaskPos=44, Product_no=BY1-170, PicNo=Dt6.644.5199, PicName = 电缆BY7
[2017-03-31 18:20:29]nPos=1111, DB_OPT_插入_任务图号_成功：nOid=90671, nTaskPos=44, Product_no=BY1-170, PicNo=Dt6.644.5201, PicName = 电缆BY9
[2017-03-31 18:20:29]nPos=1112, DB_OPT_插入_任务图号_成功：nOid=90671, nTaskPos=44, Product_no=BY1-170, PicNo=Dt6.644.5207, PicName = 电缆BY15
[2017-03-31 18:20:29]nPos=1113, DB_OPT_插入_任务图号_成功：nOid=90671, nTaskPos=44, Product_no=BY1-170, PicNo=Dt6.644.5212, PicName = 电缆BY20
[2017-03-31 18:20:29]nPos=1114, DB_OPT_插入_产品代号_代号已存在：nOid=93360, nProdPos=45, Product_no=BY1-170
[2017-03-31 18:20:29]nPos=1115, DB_OPT_插入_任务_成功：nOid=93360, nTaskPos=45, Product_no=BY1-170, Project_name=NZ-XH1504-W5C-68-03SD, nCodeCnt=1, nPicNumCnt=7
[2017-03-31 18:20:29]nPos=1116, DB_OPT_插入_任务编号_成功：nOid=93360, nTaskPos=45, Product_no=BY1-170, nCodeIndex=1, szCodeName=201606-03
[2017-03-31 18:20:29]nPos=1117, DB_OPT_插入_任务图号_成功：nOid=93360, nTaskPos=45, Product_no=BY1-170, PicNo=Dt6.644.5193, PicName = 电缆BY1
[2017-03-31 18:20:29]nPos=1118, DB_OPT_插入_任务图号_成功：nOid=93360, nTaskPos=45, Product_no=BY1-170, PicNo=Dt6.644.5194, PicName = 电缆BY2
[2017-03-31 18:20:29]nPos=1119, DB_OPT_插入_任务图号_成功：nOid=93360, nTaskPos=45, Product_no=BY1-170, PicNo=Dt6.644.5197, PicName = 电缆BY5
[2017-03-31 18:20:29]nPos=1120, DB_OPT_插入_任务图号_成功：nOid=93360, nTaskPos=45, Product_no=BY1-170, PicNo=Dt6.644.5199, PicName = 电缆BY7
[2017-03-31 18:20:29]nPos=1121, DB_OPT_插入_任务图号_成功：nOid=93360, nTaskPos=45, Product_no=BY1-170, PicNo=Dt6.644.5201, PicName = 电缆BY9
[2017-03-31 18:20:29]nPos=1122, DB_OPT_插入_任务图号_成功：nOid=93360, nTaskPos=45, Product_no=BY1-170, PicNo=Dt6.644.5207, PicName = 电缆BY15
[2017-03-31 18:20:29]nPos=1123, DB_OPT_插入_任务图号_成功：nOid=93360, nTaskPos=45, Product_no=BY1-170, PicNo=Dt6.644.5212, PicName = 电缆BY20
[2017-03-31 18:20:29]nPos=1124, DB_OPT_插入_产品代号_代号已存在：nOid=93374, nProdPos=46, Product_no=BY1-170
[2017-03-31 18:20:29]nPos=1125, DB_OPT_插入_任务_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, Project_name=NZ-XH1504-W5C-68-03SD, nCodeCnt=1, nPicNumCnt=43
[2017-03-31 18:20:29]nPos=1126, DB_OPT_插入_任务编号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, nCodeIndex=1, szCodeName=201606-04
[2017-03-31 18:20:29]nPos=1127, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5193, PicName = 电缆BY1
[2017-03-31 18:20:29]nPos=1128, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5194, PicName = 电缆BY2
[2017-03-31 18:20:29]nPos=1129, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5195, PicName = 电缆BY3
[2017-03-31 18:20:29]nPos=1130, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5196, PicName = 电缆BY4
[2017-03-31 18:20:29]nPos=1131, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5197, PicName = 电缆BY5
[2017-03-31 18:20:29]nPos=1132, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5198, PicName = 电缆BY6
[2017-03-31 18:20:29]nPos=1133, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5199, PicName = 电缆BY7
[2017-03-31 18:20:29]nPos=1134, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5200, PicName = 电缆BY8
[2017-03-31 18:20:29]nPos=1135, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5201, PicName = 电缆BY9
[2017-03-31 18:20:29]nPos=1136, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5202, PicName = 电缆BY10
[2017-03-31 18:20:29]nPos=1137, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5203, PicName = 电缆BY11
[2017-03-31 18:20:29]nPos=1138, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5204, PicName = 电缆BY12
[2017-03-31 18:20:29]nPos=1139, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5205, PicName = 电缆BY13
[2017-03-31 18:20:29]nPos=1140, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5207, PicName = 电缆BY15
[2017-03-31 18:20:29]nPos=1141, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5208, PicName = 电缆BY16
[2017-03-31 18:20:29]nPos=1142, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5209, PicName = 电缆BY17
[2017-03-31 18:20:29]nPos=1143, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5210, PicName = 电缆BY18
[2017-03-31 18:20:29]nPos=1144, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5211, PicName = 电缆BY19
[2017-03-31 18:20:29]nPos=1145, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5212, PicName = 电缆BY20
[2017-03-31 18:20:29]nPos=1146, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5213, PicName = 电缆BY21
[2017-03-31 18:20:29]nPos=1147, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5214, PicName = 电缆BY22
[2017-03-31 18:20:29]nPos=1148, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5216, PicName = 电缆BY24
[2017-03-31 18:20:29]nPos=1149, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5217, PicName = 电缆BY25
